1,Winter is Coming,1,1,"King Robert Baratheon majestically arrives in Winterfell, the home of his old and trusted friend, Eddard Stark, Warden of the North, with an important offer. On the eastern continent, the exiled Princess Daenerys Targaryen marries Khal Drogo, a warlord of the Dothraki with tens of thousands of warriors at his command. Her brother, Viserys, callously plans to win Drogo's allegiance with the marriage, so that he may return home to Westeros and reclaim the Iron Throne, which was seized by force from his father by Robert. In the frozen lands, beyond the Wall, the wildlings are on the move to the alarm of the Night's Watch. But something else is stirring even farther north. "
2,The Kingsroad,1,2,"Jon Snow and Tyrion Lannister depart Winterfell for the Wall, and along the way Jon discovers his ideas of the Night's Watch may not match the reality. Eddard Stark and his daughters depart for King's Landing, but an incident on the Kingsroad threatens to drive a wedge between him and King Robert. "
3,Lord Snow,1,3,"Jon Snow attempts to find his footing at Castle Black amidst hostility and suspicion from his fellow members of the Night's Watch. Eddard Stark and his daughters arrive at King's Landing. Catelyn renews an old friendship with a member of the court, while Daenerys and Viserys journey onwards to the Dothraki capital of Vaes Dothrak. "
4,Cripples-Bastards and Broken Things,1,4,"Tyrion Lannister stops at Winterfell on his way back to King's Landing and gets a frosty reception from Robb Stark, despite an act of kindness for Bran. Samwell Tarly joins the Night's Watch, and Jon becomes his friend and protector. Daenerys arrives at Vaes Dothrak and finally stands up to Viserys. Eddard Stark continues to investigate the death of Jon Arryn. King Robert Baratheon hosts a grand tourney for Eddard's investiture as Hand of the King, to Ned's discomfort. Catelyn and Ser Rodrik Cassel stop at the Crossroads Inn. "
5,The Wolf and the Lion,1,5,"Tyrion's predicament becomes common knowledge in King's Landing, making life difficult for Eddard Stark. Ned's position is already precarious due to a disagreement with King Robert Baratheon over plans to assassinate Daenerys before she can rally the Dothraki to invade Westeros. In the Eyrie, Catelyn is shocked by her sister Lysa's paranoia and distrust. "
6,A Golden Crown,1,6,"In Vaes Dothrak, Viserys' frustrations at the constant delays before he can receive his crown boil over. In King's Landing, while King Robert goes on a hunt, Eddard issues a decree that could splinter the Seven Kingdoms and makes a startling discovery about the heirs to the throne. In the Eyrie, Tyrion Lannister wagers everything on the greed of the sellsword Bronn. "
7,You Win or You Die,1,7,"Eddard Stark's investigations in King's Landing reach a dramatic climax as he confronts Queen Cersei with his findings. Tywin Lannister prepares his forces for battle and gives Jaime an important assignment. Ser Jorah Mormont's actions inspire Khal Drogo to make an important vow. Jon Snow finally takes his place amongst the Night's Watch. "
8,The Pointy End,1,8,"In the aftermath of Ned's capture, Syrio and Arya face off against Lannister guards, while Cersei manipulates Sansa to her own ends. Robb rallies his father's northern bannermen against Tywin Lannister and heads south to war. Tyrion forms an uneasy alliance with the hill tribes and reunites with his father. Jon lashes out at Ser Alliser Thorne and battles a mysterious attacker from beyond the Wall. Dany is forced to reconcile her desire to conquer Westeros with Drogo's savagery after the Dothraki raid a peaceful village. "
9,Baelor,1,9,"With Sansa's life in danger, Ned makes a fateful decision. Catelyn brokers an unsavory deal with the slippery Walder Frey. Tyrion acquires a mistress and is forced by his father to fight on the front lines. Robb wins his first major victory and captures a prized prisoner. Jon is rewarded for his valor and discovers a dark secret about Maester Aemon. As Khal Drogo's wound festers, Daenerys defies his bloodrider Qotho and puts her trust in the enslaved witch Mirri Maz Duur. "
10,Fire and Blood,1,10,"As tragic news spreads across the Seven Kingdoms, Bran and Rickon share a prophetic dream, Catelyn interrogates Jaime about her son's fall, and Robb's destiny is forever changed. After a surprising decision by his father, Tyrion heads south. Arya assumes a new identity in an attempt to escape King's Landing, and Sansa is terrorized by Joffrey. At the Wall, Jon is forced to choose between the Night's Watch and the family he left behind. Across the sea, Dany pays a terrible price for her love, but finds new hope. "
11,The North Remembers,2,1,"Under the burning Red Comet in the sky, war grips the continent of Westeros. In King's Landing, Tyrion Lannister arrives at court to serve as acting Hand of the King, and to rein in his crazed nephew King Joffrey, as well as Queen Regent Cersei. At Dragonstone, Stannis Baratheon begins his quest to take the Iron Throne with the help of a mysterious foreign priestess. On the eastern continent, Daenerys leads her people through the Red Waste. Beyond the Wall, rangers, led by Lord Commander Jeor Mormont, seek help from a dangerous wildling. "
12,The Night Lands,2,2,"Stannis uses Ser Davos to seek out new allies for his war with the Lannisters. On the road north, Arya confides in Gendry. Robb Stark sends Theon Greyjoy to win an alliance with his father and the fierce warriors of the Iron Islands. Cersei and Tyrion clash on how to rule in King's Landing. "
13,What is Dead May Never Die,2,3,"Catelyn Stark treats with King Renly in the hope of winning an alliance. Tyrion undertakes a complex plan in King's Landing to expose an enemy. At Winterfell, Bran's dreams continue to trouble him. "
14,Garden of Bones,2,4,"Tyrion attempts to restrain Joffrey's cruelty. Catelyn attempts to broker a peace between Stannis and Renly. Daenerys and her followers arrive at the great city of Qarth and hope to find refuge there. Arya and Gendry arrive at Harrenhal, a great castle now under Lannister occupation. "
15,The Ghost of Harrenhal,2,5,"Confusion rages in the Stormlands in the wake of a devastating reversal. Catelyn must flee with a new ally, whilst Littlefinger sees an opportunity in the chaos. Theon seeks to prove himself to his father in battle. Arya receives a promise from the enigmatic Jaqen H'ghar. The Night's Watch arrives at the Fist of the First Men. Daenerys Targaryen receives a marriage proposal. "
16,The Old Gods and the New,2,6,"Arya has a surprise visitor; Dany vows to take what is hers; Joffrey meets his subjects; Qhorin gives Jon a chance to prove himself. "
17,A Man Without Honor,2,7,"Jaime meets a relative; Theon hunts; Dany receives an invitation. "
18,The Prince of Winterfell,2,8,"Theon holds the fort; Arya calls in her debt with Jaqen; Robb is betrayed; Stannis and Davos approach their destination. "
19,Blackwater,2,9,"A massive battle rages for control of King's Landing and the Iron Throne. "
20,Valar Morghulis,2,10,"Tyrion awakens to a changed situation. King Joffrey doles out rewards to his subjects. As Theon stirs his men to action, Luwin offers some final advice. Brienne silences Jaime; Arya receives a gift from Jaqen; Dany goes to a strange place; Jon proves himself to Qhorin. "
21,Valar Dohaeris,3,1,"Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward, Littlefinger offers Sansa a way out, and Cersei hosts a dinner for the royal family. Dany sails into Slaver's Bay. "
22,Dark Wings-Dark Words,3,2,"Sansa Stark is introduced to Olenna Tyrell and is incautious when questioned about King Joffrey Baratheon. Shae asks Tyrion Lannister for help protecting Sansa. Jaime Lannister provokes Brienne into a duel but finds himself recaptured. Arya Stark crosses paths with the Brotherhood Without Banners and is recognized by their new prisoner Sandor Clegane. Ravens bring dark news to the King in the North at Harrenhal; his brothers are still missing and Hoster Tully has died. Jon Snow learns about wargs from the Free Folk. Bran Stark is surprised to meet new allies in the barren North. "
23,Walk of Punishment,3,3,"Tyrion gains new responsibilities; Jon is taken to the Fist of the First Men; Daenerys meets with the slavers; Jaime strikes a deal with his captors. "
24,And Now His Watch is Ended,3,4,"The Night's Watch takes stock; Varys meets his better; Arya is taken to the commander of the Brotherhood; Daenerys makes an exchange. "
25,Kissed by Fire,3,5,"The Hound is judged by the gods; Jaime is judged; Jon proves himself; Robb is betrayed; Tyrion learns the cost of weddings. "
26,The Climb,3,6,"Tywin plans strategic unions for the Lannisters. Melisandre pays a visit to the Riverlands. Robb weighs a compromise to repair his alliance with House Frey. Roose Bolton decides what to do with Jaime Lannister. Jon, Ygritte and the Wildlings face a daunting climb. "
27,The Bear and the Maiden Fair,3,7,"Dany exchanges gifts with a slave lord outside of Yunkai. As Sansa frets about her prospects, Shae chafes at Tyrion's new situation. Tywin counsels the king, and Melisandre reveals a secret to Gendry. Brienne faces a formidable foe in Harrenhal. "
28,Second Sons,3,8,"King's Landing hosts a wedding, and Tyrion and Sansa spend the night together. Dany meets the Titan's Bastard. Davos demands proof from Melisandre. Sam and Gilly meet an older gentleman. "
29,The Rains of Castamere,3,9,"Robb presents himself to Walder Frey, and Edmure meets his bride. Jon faces his harshest test yet. Bran discovers a new gift. Daario and Jorah debate how to take Yunkai. House Frey joins with House Tully. "
30,Mhysa,3,10,"Joffrey challenges Tywin. Bran tells a ghost story. In Dragonstone, mercy comes from strange quarters. Dany waits to see if she is a conqueror or a liberator. "
31,Two Swords,4,1,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon Snow finds himself unwelcome. Dany is pointed to Meereen, the mother of all slave cities. Arya runs into an old friend. "
32,The Lion and the Rose,4,2,"A who's who of honored guests turns out for Joffrey and Margaery's wedding in King's Landing. Meanwhile, Bronn gives a lesson to an unlikely pupil; Bran's vision helps map out his journey; Stannis loses patience with Davos; and Ramsay takes a perverse delight in his new pet. "
33,Breaker of Chains,4,3,"In the frenzied aftermath of the royal wedding, Tyrion gets a visit from a loyal subject. Meanwhile, Tywin offers to work for the common good with a presumed enemy; Sam takes stock of the personnel at Castle Black; the Hound gives another life lesson to Arya; and Daenerys makes a decision outside the walls of Meereen. "
34,Oathkeeper,4,4,"Dany balances justice and mercy. Jaime tasks Brienne with his honor. Jon secures volunteers while Bran, Jojen, Meera and Hodor stumble on shelter. "
35,First of His Name,4,5,"Cersei and Tywin plot the Crown's next move. Dany discusses future plans. Jon embarks on a new mission. "
36,The Laws of Gods and Men,4,6,"Stannis and Davos set sail with a new strategy. Dany meets with supplicants. Tyrion faces down his father in the throne room. "
37,Mockingbird,4,7,"Tyrion enlists an unlikely ally. Daario entreats Dany to allow him to do what he does best. Jon's warnings about the Wall's vulnerability fall on deaf ears. Brienne follows a new lead on the road with Pod. "
38,The Mountain and the Viper,4,8,"Unexpected visitors arrive in Mole's Town. Littlefinger's motives are questioned. Ramsay tries to prove himself to his father. Tyrion's fate is decided. "
39,The Watchers on the Wall,4,9,"The Night's Watch, although hopelessly outnumbered, attempts to defend Castle Black from Mance Rayder's massive wildling army, who plan to siege the fortress from the north. Meanwhile, a secret garrison of wildlings including Tormund, Styr and Ygritte are poised to launch a surprise attack from the south of the Wall. "
40,The Children,4,10,"Circumstances change after an unexpected arrival from north of the Wall. Dany must face harsh realities. Bran learns more about his destiny. Tyrion sees the truth about his situation. "
