1,Braavos,city,"Braavos is one of the Free Cities located on the continent of Essos. It lies east of Westeros, across the Narrow Sea. It is the northern-most, the richest, and arguably the most powerful of the Free Cities. The city spans hundreds of tiny islands connected by small stone bridges. As well as the city itself, the rulers of Braavos also control the surrounding lagoon and a strip of the coastline southwards towards Pentos. ",16
2,Casterly Rock,House Seat,Casterly Rock is the ancestral stronghold of House Lannister. It is located on the Western coast of Westeros on a rocky promontory overlooking the Sunset Sea. It overlooks the major city of Lannisport. A major goldmine is located under Casterly Rock. It is one of the most productive in the realm and provides House Lannister with their wealth. ,17
3,Castle Black,Military Base,"Castle Black is the primary headquarters and redoubt of the Night's Watch. It is located roughly halfway along the length of the Wall on its southern side, at the northern end of the Kingsroad. It is a dark and chilling home to its garrison. ",20
4,Dragonstone,House Seat,Dragonstone is the castle that stands upon the eponymous island located in Blackwater Bay. It is the ancestral seat of House Targaryen and the current stronghold of a cadet branch of House Baratheon. ,21
5,The Eyrie,House Seat,"The Eyrie is the principal stronghold of House Arryn. It is located in the Vale of Arryn near the east coast of Westeros. The Eyrie straddles the top of a peak in the Mountains of the Moon several thousand feet above the valley floor below. It is approached by a narrow causeway and road. Those who would approach the Eyrie must pass through three way-castles guarding the ascent - and then, must proceed in single file, making them very vulnerable to archers. For these reasons, the Eyrie is considered impregnable to any attack that does not involve dragons. ",22
6,Highgarden,House Seat,"Highgarden is the seat of House Tyrell and the regional capital of the Reach. It is next to the river Mander. Highgarden sits on the point where the Roseroad linking Oldtown and King's Landing forks off west on the Searoad which leads to Lannisport. As King's Landing, Oldtown, and Lannisport are the first, second, and third largest cities in Westeros, heavy trade and traffic to and from Oldtown ultimately passes through Highgarden. ",23
7,King's Landing,House Seat,"King's Landing is the capital of the Seven Kingdoms. It is located on the east coast of Westeros in the Crownlands, overlooking Blackwater Bay. It is the site of the Iron Throne and the Red Keep, the seat of the King of the Andals and the First Men. The walled city is located on uplands just north of where the Blackwater Rush flows into Blackwater Bay. It enjoys a warm climate and life there is luxurious for those that can afford it, although it is not without its slums such as Flea Bottom. The city is overpopulated and dangerous at the best of times, despite being policed by a City Watch. ",21
8,Meereen,city,"Meereen is the northernmost and greatest of the three great city-states of Slaver's Bay, north of Yunkai and Astapor. It is located at the mouth of the Skahazadhan River, which flows from its origins in Lhazar through the mountains separating Meereen and the rest of Slaver's Bay from the Red Waste. The Dothraki Sea lies to the north, beyond the river. The wealthiest residents live in pyramids. ",29
9,Pyke,House Seat,"Pyke is the stronghold and seat of House Greyjoy, located on the island of the same name, which is one of the seven major Iron Islands. The castle is the regional capital of the Iron Islands as a whole. Pyke is an ancient stronghold and the cliff it was built on has been eroded by the sea leaving the towers standing on stone stacks. The towers are connected by swaying rope bridges. The rocky moss covered stone at its base is not suitable for ships landing so traffic to the island flows through the nearby harbor town Lordsport.",25
10,Winterfell,House Seat,"Winterfell is the seat of House Stark. It is a very large castle located at the center of the North, from where the head of House Stark rules over his people. A small Godswood is enclosed within the walls. It is the capital of the North under King Robb Stark. The castle is located alongside the Kingsroad as it makes its way from the Wall to the capital at King's Landing, more than a thousand miles to the south. It is situated atop hot springs which keep the castle warm even in the worst winters. Winding tombs below the castle contain the remains of Stark kings and lords and record the history of the ancient family. The castle has stood for millennia. ",24
11,Beyond the Wall,Region,"It is inhabited by tribes that refer to themselves as the Free Folk, known by the people of the Seven Kingdoms as wildlings. The wildlings themselves are not politically unified but consist of numerous and diverse groups. Many are semi-nomadic hunters due to the impracticality of agriculture in the far north. Some wildlings are little more than savage and primitive raiders, but other groups live in small settled communities and villages.",19
12,Whispering Wood,Woods,"The Whispering Wood is a forest in the Riverlands, located northwest of Riverrun along the Red Fork of the Trident. ",26
13,The Twins,House Seat,"The Twins, sometimes known as The Crossing, is a castle in the Riverlands. It is the seat of House Frey, a vassal house of House Tully of Riverrun. It consists of two near-identical towers and a fortified bridge over the Green Fork of the River Trident. ",26
14,Sunspear,House Seat,"Sunspear is the seat of House Martell and the capital of Dorne, southernmost of the Seven Kingdoms, located in the far southeast of the continent on the Summer Sea. It consists of a strong, fortified castle and a town that sprawls around it. It is a town built largely of mud and straw. The town's largest structure is Spear Tower, a 150-feet structure with a pinnacle of shining steel. ",27
15,Riverrun,House Seat,"Riverrun is the former seat of House Tully, who continue to hold it in defiance of the Iron Throne and its new lawful rulers, House Frey. It is a large castle located in the central-western part of the Riverlands. It sits at the point where the Red Fork of the Trident River is joined by its major tributary, the Tumblestone River flowing out of the west. In times of danger, sluice gates can be opened to flood a channel cut to the west of the castle, turning Riverrun into an island. Its walls rise sheer from the waters and its towers command the opposite shores, making assaulting it almost impossible without huge casualties. ",26
16,Free Cities,Region,"The Free Cities are nine powerful, independent city-states located across the Narrow Sea to the east of Westeros. They are located on the western coast of the massive eastern continent of Essos. They trade with the Seven Kingdoms, and each one is a distinct and individual culture by itself. ",18
17,Westerlands,Region,The Westerlands is one of the constituent regions of the Seven Kingdoms. It was formerly a sovereign realm known as the Kingdom of the Rock before the Targaryen conquest. ,19
18,Essos,Continent,"Essos is an immense landmass located to the east of Westeros, extending into the far east of the known world. The Free Cities are located on its north-western shores, with the Dothraki sea located deep in the continental interior and the cities of Slaver's Bay on the south coast. The continent extends far to the east, around the Jade Sea, to the distant and fabled lands of Asshai and the Shadow. Essos climate is temperate in the northern and western portions, and subtropical in the southern and eastern portions. Rainfall generally decreases as one moves eastward in Essos.",
19,Westeros,Continent,Westeros is a continent located in the far west of the known world. It is separated from the continent of Essos by a strip of water known as the Narrow Sea. Most of the action in Game of Thrones takes place in Westeros.,
20,The Wall,,"The Wall is a colossal fortification which stretches for 300 miles along the northern border of the Seven Kingdoms, defending the realm from the wildlings who live beyond. The Wall is reported to be over 700 feet tall and is made of solid ice. It was supposedly constructed using both magic and mundane means some eight millennia ago, in the aftermath of the Long Night to defend the realm against the White Walkers who apparently dwell in the far north, though they are now considered myths by most. ",24
21,The Crownlands,Region,"The Crownlands is one of the nine constituent regions of the Seven Kingdoms. Instead of being ruled by a Lord Paramount, the Crownlands are ruled directly by the King on the Iron Throne from the city of King's Landing, the largest city in Westeros and the capital of the Seven Kingdoms. ",19
22,The Vale,Region,"The Vale of Arryn is one of the constituent regions of the Seven Kingdoms, and was formerly a sovereign nation known as the Kingdom of Mountain and Vale before the Targaryen Conquest. It is ruled by House Arryn from the Eyrie. Protected and surrounded by the Mountains of the Moon, the Vale is isolated from the rest of Westeros and is accessible only during warmer seasons. ",19
23,The Reach,Region,"The Reach is one of the constituent regions of the Seven Kingdoms, and was formerly a sovereign nation known as the Kingdom of the Reach before the Targaryen conquest. Geographically, it is one of the larger regions of the Seven Kingdoms. ",19
24,The North,Region,"The North is one of the constituent regions of the Seven Kingdoms, and was formerly a sovereign nation known as the Kingdom of the North before the Targaryen conquest. ",19
25,Iron Islands,Region,"The Iron Islands form one of the nine constituent regions of Westeros. They are a group of seven small rocky islands clustered far off the western coast of the mainland of the continent, in Ironman's Bay. The Iron Islands are ruled from Pyke by House Greyjoy. ",19
26,Riverlands,Region,"The Riverlands is one of the constituent regions of the Seven Kingdoms. They have been a frequent battleground in the civil wars that have afflicted the Seven Kingdoms and also in the wars that took place between the old nations of the continent before the Targaryen Conquest. During the time of the First Men, the Riverlands were an independent kingdom known as the Kingdom of the Rivers and the Hills. ",19
27,Dorne,Region,"Dorne is one of the nine constituent regions of the Seven Kingdoms. It is the southernmost part of the continent of Westeros, located thousands of miles from Winterfell and the North, and has a harsh desert climate. The Dornishmen are ethnically distinct from the rest of the Seven Kingdoms, being largely descended from Rhoynar refugees who intermarried with the local population of Andals and First Men roughly a thousand years ago. As a result they have very different customs and traditions compared to the other regions of Westeros. ",19
28,The Stormlands,Region,"The Stormlands is one of the nine constituent regions of the Seven Kingdoms. It is located on the south east coast of the continent of Westeros, on the shores of the Narrow Sea, south of the Crownlands and north of Dorne. The Stormlands are ruled from the castle of Storm's End by House Baratheon. They are so-named for the savage and frequent storms from the Narrow Sea that batter the coast. It was originally a sovereign nation known as the Storm Kingdom, until Aegon the Conqueror united Westeros under his rule. ",19
29,Slaver's Bay,Region,"Slaver's Bay is the name given to an area on the southern coast of Essos, located to the south-east of Westeros and the Free Cities and to the west of Qarth. The name can refer to the bay itself or the entire region. As the name implies, the cities of Slaver's Bay are the hub of the international slave trade. ",18
30,Dothraki Sea,Region,"The Dothraki Sea is a region on the continent of Essos, thousands of miles to the east of Westeros. It is located in the continental interior, east of the Free Cities, and is a vast landscape of steppes and plains covered in low green grass which makes it look like a sea from afar. It is named for the Dothraki people who inhabit it, horse-mounted warriors who migrate across the plains in large hordes called khalasars (each of which may contain thousands of riders) to plunder neighboring lands. Vaes Dothrak, the only city of the Dothraki and central hub of their society, lies on the northeastern edge of the Dothraki Sea. ",18
31,Storm's End,House Seat,"Storm's End is the ancestral seat of House Baratheon, and one of three major castles currently held by the royal house, the others being the Red Keep in King's Landing and the island fastness of Dragonstone. Stannis Baratheon is the current Lord of Storm's End. Storm's End is a formidable fortress, located on the southeastern coast of Westeros overlooking Shipbreaker Bay.",28
32,The Dreadfort,House Seat,"The Dreadfort is a castle situated in the North. It is the seat of House Bolton, located on the banks of the Weeping Water east of Winterfell. The Dreadfort is ill-omened as the stronghold of House Bolton, who are famed for the flayed skins of their enemies, often rumored to have been kept on display in the castle, including those of several ancient Stark kings. However, if such gruesome trophies ever did exist they have long since been removed or destroyed.",24
